author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
1-й ДСК;developer;https://vidnoye.cian.ru/sale/flat/292191314/;Видное;sale;flat;20;24;1;38.1;9442895;2025;-1;Панельный;-1;Предчистовая, чистовая;14 м²;10,9 м²;+74951377290;; Фруктовые Сады;1к2;Бирюлёво;1-й Южный
Этажи Москва;real_estate_agent;https://vidnoye.cian.ru/sale/flat/308115716/;Видное;sale;flat;1;5;2;45.2;6400000;1965;-1;-1;-1;-1;-1;6 м²;+79660610023;;Школьная ;61;Домодедовская;
Резиденция 15;developer;https://vidnoye.cian.ru/sale/flat/306777462/;Видное;sale;flat;1;6;2;50.47;10549472;2024;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая;-1;-1;+74951387215;;Сосновая ;15к1;Битца;Резиденция 15
Этажи Москва;real_estate_agent;https://vidnoye.cian.ru/sale/flat/304094252/;Видное;sale;flat;3;5;3;58.9;7900000;1966;-1;-1;-1;-1;39,4 м²;5,3 м²;+79647926375;;Центральная ;13В;Царицыно;
Резиденция 15;developer;https://vidnoye.cian.ru/sale/flat/302899205/;Видное;sale;flat;3;6;3;83.3;14374701;2024;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая;-1;-1;+74951387215;;Сосновая ;15к2;Битца;Резиденция 15
Этажи Москва;real_estate_agent;https://vidnoye.cian.ru/sale/flat/306625156/;Видное;sale;flat;6;17;1;44.4;8000000;2010;-1;-1;-1;-1;-1;8 м²;+79672530835;;Советский проезд;4;Домодедовская;
Резиденция 15;developer;https://vidnoye.cian.ru/sale/flat/305553797/;Видное;sale;flat;1;6;-1;28.28;5379729;2024;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая;-1;-1;+74951387215;;Сосновая ;15к1;Битца;Резиденция 15
Этажи Москва;real_estate_agent;https://vidnoye.cian.ru/sale/flat/306459036/;Видное;sale;flat;10;17;1;34.2;5300000;2019;-1;-1;-1;-1;-1;9 м²;+79637660328;; Березовая;18;Домодедовская;Южное Видное
Резиденция 15;developer;https://vidnoye.cian.ru/sale/flat/308252694/;Видное;sale;flat;3;4;1;30.6;4940161;2024;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая;-1;-1;+74951387215;;Сосновая ;15к3;Битца;Резиденция 15
EstateLiga;real_estate_agent;https://vidnoye.cian.ru/sale/flat/306199872/;Видное;sale;flat;7;8;1;34.7;5475000;2022;-1;-1;-1;-1;16 м²;9 м²;+79647824596;;бульвар Мстислава Ростроповича;4к1;Бутово;Видный город
1-й ДСК;developer;https://vidnoye.cian.ru/sale/flat/302896111/;Видное;sale;flat;18;25;3;84.2;16526481;2025;-1;Панельный;-1;Предчистовая, чистовая;46,3 м²;14,4 м²;+74951377290;; Фруктовые Сады;2;Бирюлёво;1-й Южный
Этажи Москва;real_estate_agent;https://vidnoye.cian.ru/sale/flat/305340479/;Видное;sale;flat;2;16;1;38.7;5950000;1989;-1;-1;-1;-1;19,6 м²;9,5 м²;+79684680137;;Советская ;34к1;Домодедовская;
1-й ДСК;developer;https://vidnoye.cian.ru/sale/flat/293105962/;Видное;sale;flat;24;24;2;59.1;13457070;2025;-1;Панельный;-1;Предчистовая, чистовая;28,9 м²;12,2 м²;+74951377290;; Фруктовые Сады;2;Бирюлёво;1-й Южный
EstateLiga;real_estate_agent;https://vidnoye.cian.ru/sale/flat/307813560/;Видное;sale;flat;4;8;1;32.5;6250000;2019;-1;-1;-1;-1;16,1 м²;8,4 м²;+79660512745;; Галины Вишневской;5;Бутово;Видный город
1-й ДСК;developer;https://vidnoye.cian.ru/sale/flat/290499769/;Видное;sale;flat;24;25;3;68.2;14246332;2025;-1;Панельный;-1;Предчистовая, чистовая;35,7 м²;13,6 м²;+74951377290;; Фруктовые Сады;1к2;Бирюлёво;1-й Южный
Бест офис на Таганской;real_estate_agent;https://vidnoye.cian.ru/sale/flat/309045608/;Видное;sale;flat;2;7;1;40.8;6990000;-1;-1;-1;-1;-1;29,8 м²;6 м²;+79858344078;;;3;Домодедовская;
1-й ДСК;developer;https://vidnoye.cian.ru/sale/flat/292276878/;Видное;sale;flat;19;25;2;52.8;13601280;2025;-1;Панельный;-1;Предчистовая, чистовая;25,4 м²;10,6 м²;+74951377290;; Фруктовые Сады;2;Бирюлёво;1-й Южный
Dream Realty;real_estate_agent;https://vidnoye.cian.ru/sale/flat/307996713/;Видное;sale;flat;16;18;1;40.9;5900000;2024;-1;-1;-1;-1;18 м²;12 м²;+79153499386;; Ольховая;3;Домодедовская;Березовая роща
