author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308074258/;Голицыно;sale;flat;4;14;4;95.3;65000000;-1;-1;-1;-1;-1;61 м²;7 м²;+79163255607;Раменки;проспект Генерала Дорохова;39к1Г;Минская;Собрание клубных домов West Garden
Винидиктов и Партнеры;real_estate_agent;https://www.cian.ru/sale/flat/305671722/;Голицыно;sale;flat;3;14;3;97.0;85000000;2013;-1;-1;-1;-1;48 м²;8 м²;+79153161066;Замоскворечье;Мытная ;7с1;Серпуховская;Английский квартал
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/291515202/;Голицыно;sale;flat;3;4;5;211.3;95000000;-1;-1;-1;-1;-1;128,2 м²;12 м²;+79663386401;Крылатское;Островной проезд;7К1;Молодёжная;Остров Фантазий
MHEstate - Элитная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307889204/;Голицыно;sale;flat;11;20;4;139.0;127000000;2024;-1;-1;-1;-1;90 м²;20 м²;+79660559819;Пресненский;Дружинниковская ;15;Краснопресненская;SkyView
Optima Development;developer;https://www.cian.ru/sale/flat/301041574/;Голицыно;sale;flat;15;41;5;204.3;135847821;2024;-1;Монолитный;-1;Предчистовая, чистовая;-1;-1;+74951387248;Хорошевский;Ленинградский проспект;37/2;Петровский Парк;Прайм Парк
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/309083804/;Голицыно;sale;flat;5;7;4;167.5;140000000;-1;-1;-1;-1;-1;145 м²;17,5 м²;+79645650057;Замоскворечье; Большая Ордынка;67;Добрынинская;
Эльдар Кудинов;realtor;https://www.cian.ru/sale/flat/308944363/;Голицыно;sale;flat;2;12;1;28.2;12800000;1972;-1;-1;-1;-1;12 м²;8 м²;+79660512916;Раменки;Мичуринский проспект;38;Раменки;
ID 74991203;homeowner;https://www.cian.ru/sale/flat/308079051/;Голицыно;sale;flat;3;24;2;53.2;19370000;-1;-1;-1;-1;-1;-1;17 м²;+79647979823;Донской;Новоданиловская набережная;8к2;Верхние котлы;Новоданиловская 8
Romanov Estate;real_estate_agent;https://www.cian.ru/sale/flat/305931351/;Голицыно;sale;flat;39;56;3;79.7;29999999;2024;-1;-1;-1;Без отделки;37 м²;20,4 м²;+79636236030;Раменки;проспект Генерала Дорохова;вл1к3;Аминьевская;Will Towers
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/285290679/;Голицыно;sale;flat;32;58;-1;128.0;41900000;-1;-1;-1;-1;-1;-1;-1;+79169862459;Ростокино;проспект Мира;188Бк1;Ростокино;Триколор
