author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/303014613/;Дедовск;sale;flat;7;7;2;69.6;40600000;2019;-1;-1;-1;-1;-1;18 м²;+79067706562;Пресненский;Шмитовский проезд;39к3;Шелепиха;Headliner
ЗАПАДНЫЙ САД;real_estate_agent;https://www.cian.ru/sale/flat/309081123/;Дедовск;sale;flat;12;14;3;75.0;44988700;-1;-1;-1;-1;-1;52 м²;6 м²;+79660621882;Раменки;проспект Генерала Дорохова;39к2Г;Минская;Собрание клубных домов West Garden
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/306015599/;Дедовск;sale;flat;1;4;4;97.9;44999000;1998;-1;-1;-1;-1;-1;20 м²;+79652256241;Пресненский; Малая Грузинская;19/2;Улица 1905 года;
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/307093784/;Дедовск;sale;flat;8;21;4;101.3;45500000;2023;-1;-1;-1;-1;53,1 м²;11 м²;+79057143761;Даниловский;проспект Лихачева;16к1;Технопарк;Квартал на набережной NOW
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/303568714/;Дедовск;sale;flat;14;58;-1;165.0;46000000;2014;-1;-1;-1;-1;-1;35 м²;+79169862459;Ростокино;проспект Мира;188Бк1;Ростокино;Триколор
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307823693/;Дедовск;sale;flat;11;15;4;103.7;50000000;1953;-1;-1;-1;-1;-1;-1;+79651509137;Замоскворечье;Валовая ;6;Павелецкая;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308872984/;Дедовск;sale;flat;24;36;3;82.4;75000000;-1;-1;-1;-1;-1;55 м²;7 м²;+79165694109;Хорошевский;Ленинградский проспект;37/4;ЦСКА;Прайм Парк
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/309038398/;Дедовск;sale;flat;4;18;3;82.3;85000000;2026;-1;-1;-1;-1;-1;10 м²;+79175343915;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/295660041/;Дедовск;sale;flat;14;18;5;220.0;90000000;2000;-1;-1;-1;-1;-1;20 м²;+79684939608;Раменки; Улофа Пальме;1с7;Минская;
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/296195763/;Дедовск;sale;flat;13;44;4;117.0;90000000;2017;-1;-1;-1;-1;-1;15,5 м²;+79057122519;Раменки;Минская ;2;Минская;Долина Сетунь
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/305021381/;Дедовск;sale;flat;5;21;3;83.0;91300000;2021;-1;-1;-1;-1;60 м²;15 м²;+79689523570;Якиманка;Донская ;14;Шаболовская;Медный 3.14
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/304247053/;Дедовск;sale;flat;6;17;3;112.6;93000000;2013;-1;-1;-1;-1;-1;-1;+79645665463;Замоскворечье;Мытная ;7с1;Серпуховская;Английский квартал
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/306606812/;Дедовск;sale;flat;12;22;4;160.0;94000000;2007;-1;-1;-1;-1;-1;-1;+79850139772;Пресненский;Шмитовский проезд;16С2;Москва-Сити;Шмитовский 16
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/292242728/;Дедовск;sale;flat;17;18;-1;345.0;99000000;-1;-1;-1;-1;-1;120 м²;20 м²;+79670580817;Раменки;Мичуринский проспект;29;Раменки;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/306662757/;Дедовск;sale;flat;5;13;5;136.62;105000000;2023;-1;-1;-1;-1;100 м²;20 м²;+79645665925;Раменки;Минская ;1ГК6;Минская;Собрание клубных домов West Garden
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/294650793/;Дедовск;sale;flat;62;77;3;111.0;149000000;2019;-1;-1;-1;-1;-1;10 м²;+79684858420;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/306081544/;Дедовск;sale;flat;10;12;5;300.0;250000000;2005;-1;-1;-1;-1;132,4 м²;39,7 м²;+79031355942;Замоскворечье;Климентовский переулок;2;Новокузнецкая;
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/308753165/;Дедовск;sale;flat;6;11;4;168.3;250000000;2012;-1;-1;-1;-1;-1;20 м²;+79168080401;Хамовники;2-я Фрунзенская ;8;Фрунзенская;Андреевский
Private Broker;real_estate_agent;https://www.cian.ru/sale/flat/308893823/;Дедовск;sale;flat;15;15;-1;400.0;605000000;2007;-1;-1;-1;-1;-1;-1;+79850103905;Хамовники;Саввинская набережная;9;Киевская;
