author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/303279172/;Зарайск;sale;flat;2;6;5;200.0;208000000;-1;-1;-1;-1;-1;-1;30 м²;+79057122519;Замоскворечье;Большой Ордынский переулок;4С3;Третьяковская;Собрание клубных домов ORDYNKA
Ваш Гарант офис Курортный;real_estate_agent;https://sochi.cian.ru/sale/flat/305167513/;Зарайск;sale;flat;5;5;1;42.0;7000000;2014;-1;-1;-1;-1;33 м²;7 м²;+79180303782;Центральный; Навагинская;13/1;;
Аска Недвижимость;real_estate_agent;https://sochi.cian.ru/sale/flat/303458810/;Зарайск;sale;flat;10;17;2;60.0;10800000;-1;-1;-1;-1;-1;40 м²;10 м²;+79884640337;Центральный;Виноградная ;195/1;;Ангара
Гранд Недвижимость;real_estate_agent;https://sochi.cian.ru/sale/flat/306301930/;Зарайск;sale;flat;2;3;2;50.0;11200000;-1;-1;-1;-1;-1;40 м²;5 м²;+79886222755;Лазаревский;Львовская ;70Ак2;;
DealEstate;real_estate_agent;https://spb.cian.ru/sale/flat/307589645/;Зарайск;sale;flat;4;5;5;134.0;22900000;1997;-1;-1;-1;-1;66 м²;27 м²;+79819394106;Пушкинский;Малиновская ;17Б;Купчино;
DealEstate;real_estate_agent;https://spb.cian.ru/sale/flat/305153129/;Зарайск;sale;flat;19;26;3;115.0;39900000;-1;-1;-1;-1;-1;66 м²;18 м²;+79819394106;Приморский;Приморский проспект;137к1;Беговая;Золотая гавань
Этажи Москва;real_estate_agent;https://krasnogorsk.cian.ru/sale/flat/306211685/;Зарайск;sale;flat;16;18;1;40.5;12500000;2019;-1;-1;-1;-1;-1;18,2 м²;+79660630320;; Видная;3;Митино;Митино парк
Оксана Гимишян;realtor;https://www.cian.ru/sale/flat/307280914/;Зарайск;sale;flat;2;12;1;38.7;15000000;1985;-1;-1;-1;-1;20,7 м²;8,3 м²;+79104029203;Раменки; Улофа Пальме;3;Минская;
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/297952059/;Зарайск;sale;flat;18;22;1;43.0;19200000;2022;-1;-1;-1;-1;22 м²;12 м²;+79854281089;Щукино;Большой Волоколамский проезд;23;Стрешнево;Комплекс апартаментов B’aires
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/297558153/;Зарайск;sale;flat;18;22;1;43.0;19500000;2022;-1;-1;-1;-1;24 м²;14 м²;+79854281089;Щукино;Большой Волоколамский проезд;23;Стрешнево;Комплекс апартаментов B’aires
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/308629847/;Зарайск;sale;flat;26;41;2;46.0;21500000;-1;-1;-1;-1;-1;24 м²;17 м²;+79854281089;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
