author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/304695241/;Котельники;sale;flat;5;7;5;247.7;285000000;-1;-1;-1;-1;-1;220,8 м²;21,9 м²;+79852526775;Пресненский;Никитский бульвар;15/16;Арбатская;
NF Group - ex-Knight Frank;real_estate_agent;https://odintsovo.cian.ru/sale/flat/305341631/;Котельники;sale;flat;4;5;4;230.0;350000000;2016;-1;-1;-1;-1;-1;20 м²;+79152336978;Заречье рп;Тихая ;27;;Дом на Тихой
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/307708788/;Котельники;sale;flat;6;8;4;233.2;430000000;2009;-1;-1;-1;-1;-1;20 м²;+79163067184;Хамовники;переулок Хилков;1;Парк Культуры;Парк Палас
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/303873045/;Котельники;sale;flat;7;8;-1;340.0;490000000;2012;-1;-1;-1;-1;-1;10 м²;+79168080390;Арбат;Большой Афанасьевский переулок;28;Арбатская;Большой Афанасьевский пер, вл.24
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/307708792/;Котельники;sale;flat;3;3;-1;784.3;1000000000;2004;-1;-1;-1;-1;-1;20 м²;+79660544755;Раменки;Минская ;1Гк7;Ломоносовский проспект;
Неометрия;developer;https://sochi.cian.ru/sale/flat/291312233/;Котельники;sale;flat;1;17;2;44.4;18679080;2027;-1;-1;-1;Чистовая;22 м²;10,4 м²;+78612059303;Адлерский;;;;Лестория
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/308789447/;Котельники;sale;flat;11;12;1;33.5;8000000;1972;-1;-1;-1;-1;17 м²;7 м²;+79163568699;Чертаново Южное;3-й Дорожный проезд;6К1;Улица Академика Янгеля;
Никита Гаврилов;realtor;https://www.cian.ru/sale/flat/308711044/;Котельники;sale;flat;8;22;1;40.0;13290000;2000;-1;-1;-1;-1;-1;10 м²;+79646328605;Марьино; Верхние Поля;36К2;Люблино;
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/301496697/;Котельники;sale;flat;3;5;3;82.9;42900000;-1;-1;-1;-1;-1;-1;-1;+79660471567;Тверской;1-й Самотечный переулок;17А;Достоевская;
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/308804860/;Котельники;sale;flat;22;65;-1;39.9;45000000;-1;-1;-1;-1;-1;24,9 м²;10 м²;+79645669743;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/307260656/;Котельники;sale;flat;9;11;3;95.5;53000000;2022;-1;-1;-1;-1;29,8 м²;31,2 м²;+79031355942;Раменки;Винницкая ;8к3;Раменки;Настоящее
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307213330/;Котельники;sale;flat;10;26;3;74.5;72000000;2021;-1;-1;-1;-1;40 м²;10 м²;+79104832656;Очаково-Матвеевское;Нежинская ;5к2;Матвеевская;Городские резиденции SPIRES
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/307861416/;Котельники;sale;flat;4;5;3;157.0;78000000;2016;-1;-1;-1;-1;-1;20 м²;+79684858420;Пресненский;Столярный переулок;3к34;Улица 1905 года;Рассвет Loft-Studio
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308695817/;Котельники;sale;flat;23;24;4;123.0;95000000;2021;-1;-1;-1;-1;-1;-1;+79852532655;Фили-Давыдково;Кастанаевская ;66;Кунцевская;Shome
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/296835523/;Котельники;sale;flat;3;13;4;110.4;97500000;-1;-1;-1;-1;-1;57,1 м²;17,4 м²;+79663386401;Тверской; Фадеева;4А;Новослободская;Итальянский Квартал
Kalinka Group;real_estate_agent;https://odintsovo.cian.ru/sale/flat/291589677/;Котельники;sale;flat;3;6;2;236.0;130000000;-1;-1;-1;-1;-1;-1;-1;+79854018686;;;;;Жуковка Шале
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/305062350/;Котельники;sale;flat;26;41;4;138.2;138000000;2020;-1;-1;-1;-1;-1;10 м²;+79067942859;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/305693518/;Котельники;sale;flat;15;21;4;226.0;139900000;-1;-1;-1;-1;-1;-1;23 м²;+79670580817;Пресненский;Большой Тишинский переулок;10С1;Баррикадная;Большой Тишинский переулок, 10с1
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/306881657/;Котельники;sale;flat;23;24;5;415.0;150000000;1998;-1;-1;-1;-1;300 м²;74 м²;+79647823389;Щукино; Маршала Бирюзова;32К1;Октябрьское поле;Две башни
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308464189/;Котельники;sale;flat;3;10;4;162.0;157000000;-1;-1;-1;-1;-1;96 м²;20 м²;+79859962624;Басманный;Казарменный переулок;3;Курская;Дом на Покровском бульваре
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307153735/;Котельники;sale;flat;4;7;4;150.0;226130000;-1;-1;-1;-1;-1;129 м²;15 м²;+79164809934;Пресненский;Хлыновский тупик;4;Арбатская;
